trait,label
gr_10_yellow,Prixium Cyberwings (PX-L.Star)
gr_11_sub_1,Steel Sword(s)
gr_11_sub_2,Steel Sword(s)
gr_11_sub_3,Steel Sword(s)
gr_12_sub_1,Fine Sword(s)
gr_12_sub_2,Fine Sword(s)
gr_12_sub_3,Fine Sword(s)
gr_13_sub_1,Wind Blade(s)
gr_13_sub_2,Wind Blade(s)
gr_13_sub_3,Wind Blade(s)
gr_14_sub_1,Gilt Wind Blade(s)
gr_14_sub_2,Gilt Wind Blade(s)
gr_14_sub_3,Gilt Wind Blade(s)
gr_15_sub_1,Benkei Sword(s)
gr_15_sub_2,Benkei Sword(s)
gr_15_sub_3,Benkei Sword(s)
gr_16_sub_1,Fetch Benkei Sword(s)
gr_16_sub_2,Fetch Benkei Sword(s)
gr_16_sub_3,Fetch Benkei Sword(s)
gr_17_sub_1,Gilt Benkei Sword(s)
gr_17_sub_2,Gilt Benkei Sword(s)
gr_17_sub_3,Gilt Benkei Sword(s)
gr_18_sub_1,Warrior Blade(s)
gr_18_sub_2,Warrior Blade(s)
gr_18_sub_3,Warrior Blade(s)
gr_19_sub_1,Guardian Blade(s)
gr_19_sub_2,Guardian Blade(s)
gr_19_sub_3,Guardian Blade(s)
gr_20_sub_1,Master Blade(s)
gr_20_sub_2,Master Blade(s)
gr_20_sub_3,Master Blade(s)
gr_21,Meepo's Pad
gr_22,Lithium Ring
gr_23,Lil Angel Wing
gr_24,Lil Demon Wing
gr_25,B.F.R.
gr_26,Benkei No Chochin
gr_27,Golden Cat Cyberwings (GC-X)
gr_28,Golden Cat Spirit Blade
